Nro;Coordinación Zonal;Provincia;Cantón;Agencia / Punto de Atención;Dirección Completa;LATITUD;LONGITUD
1;ZONA 1;CARCHI;TULCÁN;TULCÁN;CALLE BRASIL Y PANAMA;0.81154;-77.71261
2;ZONA 1;CARCHI;TULCÁN;ARCES HOSPITAL LUIS G DAVILA;AV. SAN FRANCISCO Y ADOLFO BEKER;0.83081;-77.71005
3;ZONA 1;CARCHI;MONTUFAR;SAN GABRIEL;PANAMERICANA NORTE Y 27 DE SEPTIEMBRE;0.60055;-77.83419
4;ZONA 1;CARCHI;ESPEJO;EL ANGEL;ESMERALDAS Y SALINAS GAD ESPEJO;0.62155;-77.93873
5;ZONA 1;CARCHI;MIRA;MIRA;BOLIVAR Y ELOY ALFARO;0.550809;-78.041253
6;ZONA 1;ESMERALDAS;QUININDE;QUININDE;VIA GUAYABAMBA NUEVO QUININDE BARRIO 3 DE MAYO ESQ;0.328694;-79.460917
7;ZONA 1;ESMERALDAS;MUISNE;MUISNE;LUIS VARGAS TORRES Y CALLEJON S/N ESQUINA;0.6104;-80.0186
8;ZONA 1;ESMERALDAS;ATACAMES;ATACAMES;BARRIO LOS ALMENDROS CALLE B ENTRE 3RA Y 4TA;0.86989;-79.8406
9;ZONA 1;ESMERALDAS;SAN LORENZO;SAN LORENZO;AV ESMERALDAS Y CALLE 29 DE ABRIL;1.283333;-78.835667
10;ZONA 1;ESMERALDAS;ELOY ALFARO;ELOY ALFARO;5 DE AGOSTO Y CONCEPCIÓN;1.088378;-78.988253
11;ZONA 1;ESMERALDAS;RIOVERDE;RIOVERDE;AV 5 DE AGOSTO JUNTO A LA IGLESIA;1.07527;-79.41274
12;ZONA 1;ESMERALDAS;ESMERALDAS;ARCES HOSPITAL DELFINA TORRES CONCHA ;AV. DEL EJÉRCITO EN EL HOSPITAL DEL SUR;0.91425;-79.691944
13;ZONA 1;ESMERALDAS;ESMERALDAS;PREFECTURA - ESMERALDAS;10 DE AGOSTO ENTRE BOLÍVAR Y PEDRO VICENTE MALDONADO;0.96349;-79.65219
14;ZONA 1;ESMERALDAS;ESMERALDAS;EDIFICIO SENEGAL;OLMEDO ENTRE ROCAFUERTE Y JUAN MONTALVO;0.968516;79.653972
15;ZONA 1;IMBABURA;IBARRA;IBARRA;JUAN DE VELASCO Y VICENTE ROCAFUERTE;0.3475;-78.1215
16;ZONA 1;IMBABURA;COTACACH;COTACACHI;MODESTO PEÑAHERRERA Y SUCRE;0.3;-78.266667
17;ZONA 1;IMBABURA;ANTONIO ANTE;AGENCIA;GONZÁLEZ SUÁREZ S/N Y BOLIVAR;0.317;-78.217
18;ZONA 1;IMBABURA;OTAVALO;OTAVALO;MANUEL ANDRADE Y LUIS GARZON PRADO. RUMIÑAHUI;0.2338;-78.2626
19;ZONA 1;IMBABURA;OTAVALO;ARCES HOSPITAL SAN LUIS DE OTAVALO;CALLE EE.UU. S/N Y SUCRE;0.233322;-78.25944
20;ZONA 1;IMBABURA;IBARRA;ARCES HOSPITAL SAN VICENTE DE PAUL;CALLE LUIS VARGAS TORRES 1156 Y ABELARDO MONCAYO;0.353384;-78.126193
21;ZONA 1;IMBABURA;PIMAMPIRO ;PIMAMPIRO ;MONTÚFAR Y SUCRE. FRENTE AL REGISTRO DE LA PROPIEDAD DEL CANTÓN SAN PEDRO DE PIMAMPIRO.;0.391075;-77.939387
