Nro;Coordinación Zonal;Provincia;Cantón;Agencia / Punto de Atención;Dirección Completa;LATITUD;LONGITUD
1;ZONA 5;LOS RIOS;BABAHOYO;BABAHOYO;27 DE MAYO Y CALLE QUINTA SECTOR 5 ESQUINAS;-1.80368;-79.5280834
2;ZONA 5;LOS RIOS ;PUEBLOVIEJO ;PUEBLOVIEJO;10 DE AGOSTO Y MANUEL FELIPE SERRANO;-1.552043;-79.534737
3;ZONA 5;LOS RIOS ;QUEVEDO;SAN CAMILO; San Camilo, Promejoras-Calle H entre 4ta  Y;-1.029888889;-79.45511111
4;ZONA 5;LOS RIOS;VENTANAS;VENTANAS;10 de Agosto entre 10 de Noviembre y Pacifico Gordillo;-1.44297;-79.46274
5;ZONA 5;URDANETA;CATARAMA;URDANETA;CALLE CARLOS TOLA Y ALFONSO BUSTAMANTE, EDIFICIO MUNICIPAL ESQUINA;-1.571694444;-79.47127778
6;ZONA 5;LOS RIOS;VALENCIA;VALENCIA;AV.  VICENTE ROCAFUERTE ENTRE ISLA SAN CRISTOBAL Y LA ISLA SANTA CRUZ;-0.950565335;-79.3652
7;ZONA 5;LOS RIOS;MOCACHE;MOCACHE;CALLE BOLIVAR ENTRE AV 28 DE MAYO Y MALECON;-1.18385;-79.50553
8;ZONA 5;LOS RIOS;PALENQUE ;PALENQUE ;AVENIDA JUAN CARLOS ASPIAZU ;-1.43865;-79.75844
9;ZONA 5;LOS RIOS;MONTALVO;MONTALVO;Los Rios entre Babahoyo y Guillermo Baquerizo;-1.788892;-79.287741
10;ZONA 5;LOS RIOS;BABA;BABA;AV GUAYAQUIL Y 9 DE OCTUBRE;-1.784261;-79.679118
11;ZONA 5;LOS RIOS;QUEVEDO;ARCES HOSP. SAGRADO CORAZÓN DE JESUS;AV.GUAYACANESY AV. WALTER ANDRADE, PARROQUIA 7 DE OCTUBRE ;-1.03743;-79.47217
12;ZONA 5;LOS RIOS;QUEVEDO;CENTRO QUEVEDO;CALLE SEPTIMA ENTRE LA AV. 7 DE OCTUBRE Y CALLE BOLIVAR;-1.024983;-79.46658
13;ZONA 5;LOS RIOS ;VINCES ;AGENCIA VINCES ;Olmedo entre Sucre y 10 de Agosto;-1.55641;-79.7533
14;ZONA 5;BABAHOYO;CAMILO PONCE ENRÍQUEZ;ARCES BABAHOYO ;CALLES MALECÓN 9 DE OCTUBRE ENTRE BARREIRO Y RICAURTE;-1.799927274;-79.53816591
15;ZONA 5;LOS RIOS;BUENA FE;BUENA FE ;CALLE MARIANA RODRIGUEZ Y 5 DE JUNIO PLAZOLETA CENTENARIO;-0.897;79.48926
16;ZONA 5;LOS RIOS;QUINSALOMA;QUINSALOMA ;CALLE BALDACOS Y GUASMO ;-1.2064;-79.3133
17;ZONA 5;SANTA ELENA;SANTA ELENA;MANGLARALTO;BARRIO CENTRAL,  Av. 24 Mayo y Los Rios ;-1.8508183;-80.7460409
18;ZONA 5;SANTA ELENA;SALINAS;SALINAS/CAC;AV CARLOS ESPINOZA LARREA- CAC;-2.229196;-80.92468
19;ZONA 5;SANTA ELENA;SANTA ELENA;SANTA ELENA;AV. 9 DE OCTUBRE Y JUAN MONTALVO;-2.2255499;-80.8591058
20;ZONA 5;SANTA ELENA ;SANTA ELENA ;COLONCHE;AV. TIBURCIO ROSALES Y CALLE 25 DE NOVIEMBRE JUNTO AL PARQUE CENTRAL DE COLONCHE;-2.0217741;-80.6695551
21;ZONA 5;SANTA ELENA ;SANTA ELENA ;ARCES SANTA ELENA;AV. MÁRQUEZ DE LA PLATA, ATRÁS DEL CEMENTERIO DE SANTA ELENA;-2.231244871;-80.85291675
22;ZONA 5;SANTA ELENA ;SANTA ELENA;CHANDUY ;CALLE SANTA ELENA Y SAN AGUSTIN JUNTO AL GAD PARROQUIAL;-2.402320083;-80.68074498
23;ZONA 5;GUAYAS;MILAGRO;MILAGRO;"Centro de Atención Ciudadana bloque A,  planta baja.
Calle Cristóbal Colón y 17 de Septiembre";-2.139928255;-79.596817
24;ZONA 5;GUAYAS;MILAGRO;ARCE-MILAGRO;Eplicachima, Milagro;-2.125808198;-79.58810085
25;ZONA 5;GALAPAGOS;SANTA CRUZ;SANTA CRUZ;AV. BALTRA JUNTO AL PATIO DEL CONSEJO DE GOBIERNO;-0.74236;90.32281
26;ZONA 5;GALAPAGOS;ISABELA;ISABELA;Av. Escalecias y Calle los Cactus;-0.953995;90.96476
27;ZONA 5;GALAPAGOS;SAN CRISTOBAL;SAN CRISTOBAL;CALLE ISABELA Y AV. JUAN JOSE FLORES;-0.901888;89.607901
